title_id,tile_id,cloud_cover,spatial_cover,date,http_links,s3_links
HLS.S30.T18TTK.2022118T155819.v2.0,T18TTK,0,100,2022-04-28,"{'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B12.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B11.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.Fmask.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B8A.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B03.tif'}","{'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B12.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B11.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.Fmask.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B8A.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TTK.2022118T155819.v2.0/HLS.S30.T18TTK.2022118T155819.v2.0.B03.tif'}"
HLS.S30.T17TQE.2022063T160151.v2.0,T17TQE,2,100,2022-03-04,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B02.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B11.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B04.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.Fmask.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B03.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B12.tif'}","{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B02.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B11.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B04.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.Fmask.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B03.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022063T160151.v2.0/HLS.S30.T17TQE.2022063T160151.v2.0.B12.tif'}"
HLS.S30.T17TQE.2022118T155819.v2.0,T17TQE,0,99,2022-04-28,"{'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.Fmask.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B11.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B8A.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B04.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B12.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B02.tif'}","{'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.Fmask.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B11.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B8A.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B04.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B12.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B02.tif'}"
HLS.S30.T17TQE.2022118T155819.v2.0,T17TQE,0,99,2022-04-28,"{'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.Fmask.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B11.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B8A.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B04.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B12.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B02.tif'}","{'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.Fmask.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B11.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B8A.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B04.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B12.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T17TQE.2022118T155819.v2.0/HLS.S30.T17TQE.2022118T155819.v2.0.B02.tif'}"
HLS.S30.T18SUJ.2022070T155051.v2.0,T18SUJ,3,99,2022-03-11,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B02.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B8A.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.Fmask.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B03.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B12.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B11.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B04.tif'}","{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B02.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.Fmask.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B03.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B12.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B11.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022070T155051.v2.0/HLS.S30.T18SUJ.2022070T155051.v2.0.B04.tif'}"
HLS.S30.T18SUJ.2022170T154821.v2.0,T18SUJ,1,99,2022-06-19,"{'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B12.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B04.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.Fmask.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B11.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B8A.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B02.tif'}","{'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B12.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B04.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.Fmask.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B11.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B8A.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022170T154821.v2.0/HLS.S30.T18SUJ.2022170T154821.v2.0.B02.tif'}"
HLS.S30.T18SUJ.2022260T154921.v2.0,T18SUJ,5,99,2022-09-17,"{'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B11.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.Fmask.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B12.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B04.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B02.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B8A.tif'}","{'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B11.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.Fmask.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B12.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B04.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B02.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUJ.2022260T154921.v2.0/HLS.S30.T18SUJ.2022260T154921.v2.0.B8A.tif'}"
HLS.S30.T18SUG.2022070T155051.v2.0,T18SUG,1,99,2022-03-11,"{'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B11.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.Fmask.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B12.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B02.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B8A.tif'}","{'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B11.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.Fmask.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B12.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B02.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022070T155051.v2.0/HLS.S30.T18SUG.2022070T155051.v2.0.B8A.tif'}"
HLS.S30.T18SUG.2022215T154819.v2.0,T18SUG,2,99,2022-08-03,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B02.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B12.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B8A.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.Fmask.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B03.tif'}","{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B02.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B12.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.Fmask.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022215T154819.v2.0/HLS.S30.T18SUG.2022215T154819.v2.0.B03.tif'}"
HLS.S30.T18SUG.2022270T155031.v2.0,T18SUG,0,99,2022-09-27,"{'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B11.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.Fmask.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B04.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B03.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B12.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B8A.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B02.tif'}","{'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B11.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.Fmask.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B04.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B03.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B12.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B8A.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUG.2022270T155031.v2.0/HLS.S30.T18SUG.2022270T155031.v2.0.B02.tif'}"
